Email ID,Swift Id,Order Number,Status,Direction,Type,Total Amount,Zone,Destination State,Pickup Pincode,Billing Date,Courier Name,Weight (in gms),Cost (incl GST),SKU Total,Destination City,Charge Description,AWB
info@dermatouch.com,505733JP4441020,#DERMA2823567,Delivered,FORWARD,COD,480,B,Gujarat,380018,2026-04-14+05:30,Swift,500,92.04,,Lunawada,B2C Shipping Services,
info@dermatouch.com,505733JQ5857264,#DERMA2864026,Undelivered,FORWARD,COD,158,D,Madhya Pradesh,380018,2026-04-29+05:30,Swift,500,113.75,,Betul,B2C Shipping Services,
info@dermatouch.com,505733JQ7113203,#DERMA2938825,Delivered,FORWARD,COD,567,D,Maharashtra,380018,2026-04-25+05:30,Swift,1000,187.03,,Hingoli,B2C Shipping Services,
info@dermatouch.com,505733M4693218,#DERMA2828350,In Transit,FORWARD,COD,149,E,Assam,380018,2026-05-01+05:30,Swift,500,139.54,,Kabuganj,B2C Shipping Services,
info@dermatouch.com,505733M7019059,#DERMA2872625,Delivered,FORWARD,Prepaid,149,D,Maharashtra,380018,2026-04-24+05:30,Swift,500,75.99,,Jawhar,B2C Shipping Services,
info@dermatouch.com,505733JQ8729768,#DERMA2964463,In Transit,FORWARD,COD,138,D,Maharashtra,380018,2026-05-02+05:30,Swift,500,113.75,,Ahmed Nagar,B2C Shipping Services,
info@dermatouch.com,505733JQ6749479,#DERMA2753604,Delivered,FORWARD,COD,1734,D,Maharashtra,380018,2026-04-06+05:30,Swift,1500,260.31,,Erandol,B2C Shipping Services,
info@dermatouch.com,505733M8239386,#DERMA2748799,Delivered,FORWARD,COD,251,D,Orissa,380018,2026-04-07+05:30,Swift,500,113.75,,Kaniha,B2C Shipping Services,
info@dermatouch.com,505733M8587401,#DERMA2778980,RTO In Transit,FORWARD,COD,149,B,Gujarat,380018,2026-05-02+05:30,Swift,500,108.56,,SURAT,B2C Shipping Services,
info@dermatouch.com,505733JQ2630547,#DERMA2706789,Delivered,FORWARD,COD,149,D,Uttar Pradesh,380018,2026-04-06+05:30,Swift,1000,187.03,,Baraut,B2C Shipping Services,
info@dermatouch.com,505733A9270690,#DERMA2888759,In Transit,FORWARD,COD,158,D,Rajasthan,380018,2026-05-02+05:30,Swift,500,113.75,,Dausa,B2C Shipping Services,
info@dermatouch.com,505733JQ0880012,#DERMA2660654,Delivered,FORWARD,COD,1467,D,West Bengal,380018,2026-04-07+05:30,Swift,500,113.75,,Darjiling,B2C Shipping Services,
info@dermatouch.com,505733JQ9380517,#DERMA2945313,Delivered,FORWARD,Prepaid,149,C,Telangana,380018,2026-04-28+05:30,Swift,500,70.56,,Hyderabad,B2C Shipping Services,
info@dermatouch.com,505733JQ1228402,#DERMA2814572,Delivered,FORWARD,COD,298,D,Madhya Pradesh,380018,2026-04-11+05:30,Swift,1000,187.03,,Khargone,B2C Shipping Services,
info@dermatouch.com,505733JP9359336,#DERMA2869558,Delivered,FORWARD,COD,278,B,Gujarat,380018,2026-04-24+05:30,Swift,500,92.04,,Dahod,B2C Shipping Services,
info@dermatouch.com,505733JQ8406998,#DERMA2792698,RTO Delivered,FORWARD,COD,397,D,Bihar,380018,2026-04-21+05:30,Swift,500,151.98,,BHABUA,B2C Shipping Services,
info@dermatouch.com,505733JQ6945767,#DERMA2656257,RTO Delivered,FORWARD,COD,298,D,Karnataka,380018,2026-04-04+05:30,Swift,1000,146.56,,Nanjangud,B2C Shipping Services,
info@dermatouch.com,505733JQ5573666,#DERMA2960591,Delivered,FORWARD,COD,158,D,Maharashtra,380018,2026-04-27+05:30,Swift,500,113.75,,Hingoli,B2C Shipping Services,
